"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Kris Bryant","Cubs","146","645","541","154","32","3","33","102","94","84","138","12","8","5","",".285",".390",".535",".926",".390","","140","2.9","2.4","","35.9","4.3","6.1","","15.2","15429"
"Josh Donaldson","Blue Jays","138","611","514","141","29","2","34","95","94","84","124","6","4","2","",".274",".380",".536",".915",".385","","142","0.0","4.8","","31.6","6.6","5.9","","30.6","5038"
"Nolan Arenado","Rockies","147","637","571","169","36","5","38","97","112","56","101","4","3","2","",".295",".360",".575",".935",".385","","122","-0.5","7.5","","17.8","9.9","4.8","","4.6","9777"
"Manny Machado","Orioles","146","644","581","169","34","1","37","97","104","53","102","3","8","5","",".291",".351",".543",".893",".373","","133","-1.2","2.0","","25.1","9.3","5.6","","17.6","11493"
"Justin Turner","Dodgers","123","533","466","136","29","1","20","72","74","51","79","12","4","2","",".292",".373",".489",".862",".367","","129","-0.6","2.7","","19.4","4.7","4.1","","84.2","5235"
"Anthony Rendon","Nationals","136","578","496","140","33","1","21","79","77","70","94","6","7","4","",".282",".375",".479",".854",".364","","122","0.5","7.1","","17.1","9.4","4.5","","56.1","12861"
"Miguel Sano","Twins","110","473","409","104","19","2","28","67","77","57","156","3","1","1","",".254",".347",".513",".860",".361","","124","-1.6","-0.3","","12.2","0.6","2.9","","115.0","12164"
"Jose Ramirez","Indians","147","639","575","171","42","4","21","89","89","53","66","4","17","9","",".297",".357",".491",".848",".359","","122","1.1","4.0","","18.8","6.5","4.7","","19.9","13510"
"Matt Carpenter","Cardinals","128","571","472","123","31","2","18","80","64","86","119","6","3","2","",".261",".380",".453",".833",".359","","122","0.1","-1.8","","16.2","-9.6","2.5","","186.9","8090"
"Joey Gallo","Rangers","138","568","479","109","18","3","37","81","92","77","196","6","6","3","",".227",".338",".510",".849",".356","","119","1.2","-0.4","","14.2","-11.8","2.2","","108.5","14128"
"Adrian Beltre","Rangers","124","535","481","139","26","2","20","69","77","44","73","5","1","1","",".288",".352",".473",".824",".350","","114","-1.5","4.7","","7.8","4.8","3.1","","158.1","639"
"Alex Bregman","Astros","146","626","556","153","33","4","22","87","83","56","95","6","12","7","",".276",".346",".472",".817",".347","","120","-0.6","-1.1","","15.0","1.4","3.8","","32.1","17678"
"Jung Ho Kang","Pirates","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".267",".344",".463",".807",".345","","112","0.0","0.0","","0.0","0.0","0.0","","704.3","17182"
"Rafael Devers","Red Sox","120","492","449","128","29","2","18","63","70","35","103","2","6","4","",".285",".337",".482",".819",".345","","112","-0.2","-2.7","","6.8","-0.7","2.3","","117.4","17350"
