"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Nelson Cruz","Mariners","141","601","529","145","24","1","35","84","100","59","144","8","2","1","",".274",".353",".523",".875",".366","","134","-3.0","-0.1","","21.9","-16.4","2.6","","57.4","2434"
"Edwin Encarnacion","Indians","143","610","516","130","23","1","35","88","100","84","125","5","2","1","",".252",".360",".505",".865",".365","","127","-2.6","-0.3","","17.5","-16.4","2.2","","56.9","2151"
"Carlos Santana","Phillies","138","594","494","126","25","2","28","81","81","90","95","4","4","2","",".255",".372",".483",".855",".364","","123","-0.8","1.1","","17.1","-10.5","2.6","","171.4","2396"
"Miguel Sano","Twins","110","473","409","104","19","2","28","67","77","57","156","3","1","1","",".254",".347",".513",".860",".361","","124","-1.6","-0.3","","12.2","0.6","2.9","","115.0","12164"
"Hanley Ramirez","Red Sox","98","410","364","97","19","1","19","54","62","38","85","4","3","2","",".268",".342",".476",".818",".345","","112","-1.5","-2.5","","4.3","-11.0","0.7","","321.8","8001"
"Pedro Alvarez","Orioles","8","32","29","7","1","0","2","4","5","3","9","0","0","0","",".254",".319",".500",".819",".343","","113","0.0","0.0","","0.5","-0.9","0.1","","708.8","2495"
"Kendrys Morales","Blue Jays","115","483","435","112","22","1","23","61","71","38","104","5","1","0","",".256",".321",".466",".788",".333","","106","-4.1","-0.1","","-0.3","-13.4","0.3","","305.4","8610"
"Evan Gattis","Astros","103","404","368","93","19","1","21","52","62","27","84","4","2","1","",".253",".308",".484",".793",".332","","110","-1.2","-0.8","","3.7","-7.0","1.1","","140.3","11003"
"Mark Trumbo","Orioles","90","372","339","85","15","1","20","48","56","28","93","1","1","1","",".252",".310",".477",".787",".332","","105","-1.0","0.0","","1.3","-10.3","0.4","","261.6","6876"
"Robbie Grossman","Twins","66","261","220","56","11","1","6","31","28","35","55","2","3","2","",".256",".359",".396",".755",".332","","104","0.0","-1.7","","1.2","-7.1","0.3","","654.2","5254"
"Corey Dickerson","Pirates","108","461","424","114","25","2","19","56","63","29","106","3","3","2","",".269",".317",".473",".791",".331","","103","-0.4","-0.7","","1.6","-6.2","1.0","","223.1","10762"
"Matt Holliday","","79","316","276","68","14","1","12","35","40","32","75","4","1","1","",".248",".332",".434",".766",".329","","102","-1.6","0.0","","-0.7","-9.3","0.1","","682.2","1873"
"Victor Martinez","Tigers","98","412","371","100","17","1","14","47","52","33","65","4","1","0","",".270",".334",".429",".762",".325","","100","-4.3","0.0","","-4.3","-11.5","-0.2","","520.3","393"
"Kennys Vargas","Twins","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".240",".323",".433",".757",".323","","98","0.0","0.0","","0.0","0.0","0.0","","633.1","12101"
"Nick Delmonico","White Sox","121","502","443","109","21","2","18","58","60","49","106","4","4","2","",".246",".325",".428",".753",".323","","101","-0.3","0.1","","0.3","-9.0","0.9","","441.6","13157"
"Prince Fielder","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".257",".330",".425",".754",".322","","98","0.0","0.0","","0.0","0.0","0.0","","999.0","4613"
"Christian Walker","Diamondbacks","2","6","6","1","0","0","0","1","1","0","2","0","0","0","",".249",".313",".439",".751",".319","","89","0.0","0.0","","-0.1","-0.1","0.0","","659.0","13419"
"Chad Huffman","Tigers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".244",".328",".403",".731",".317","","94","0.0","0.0","","0.0","0.0","0.0","","999.0","5311"
"Albert Pujols","Angels","111","466","426","108","17","0","21","56","67","32","68","3","2","1","",".253",".308",".440",".748",".316","","98","-3.6","-0.9","","-4.6","-12.0","0.0","","312.2","1177"
"Miguel Andujar","Yankees","70","272","251","67","13","1","9","32","34","14","45","2","3","2","",".266",".310",".429",".739",".315","","94","0.1","0.0","","-1.9","1.2","0.9","","408.0","15878"
"Billy Butler","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".257",".324",".404",".728",".314","","92","0.0","0.0","","0.0","0.0","0.0","","999.0","7399"
"Francisco Mejia","Indians","12","48","44","12","2","0","1","6","6","3","9","0","1","0","",".266",".312",".417",".729",".311","","90","0.0","0.0","","-0.6","1.0","0.2","","349.1","16403"
"Carlos Beltran","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".256",".309",".420",".729",".310","","90","0.0","0.0","","0.0","0.0","0.0","","679.0","589"
"Ryon Healy","Mariners","109","439","410","106","20","1","16","48","56","21","101","3","1","1","",".258",".296",".429",".725",".308","","94","-0.5","-1.4","","-4.0","-10.2","0.1","","221.7","15447"
"Cesar Puello","Diamondbacks","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".249",".316",".390",".706",".306","","80","0.0","0.0","","0.0","0.0","0.0","","999.0","7216"
"Byung-ho Park","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".228",".294",".421",".715",".305","","86","0.0","0.0","","0.0","0.0","0.0","","999.0","18497"
"Steve Clevenger","","48","190","172","44","8","1","3","18","19","15","33","1","2","1","",".256",".318",".370",".687",".299","","82","-0.6","-0.2","","-4.9","3.8","0.5","","999.0","9542"
"Alex Rodriguez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".228",".304",".386",".689",".298","","81","0.0","0.0","","0.0","0.0","0.0","","999.0","1274"
"Justin Morneau","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".246",".296",".400",".696",".297","","81","0.0","0.0","","0.0","0.0","0.0","","999.0","1737"
"Ryan Raburn","Nationals","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".224",".305",".381",".686",".297","","78","0.0","0.0","","0.0","0.0","0.0","","999.0","2218"
"Rickie Weeks Jr.","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".219",".300",".370",".670",".293","","78","0.0","0.0","","0.0","0.0","0.0","","999.0","1849"
"Renato Nunez","Athletics","5","20","18","4","1","0","1","2","2","1","5","0","0","0","",".223",".278",".406",".684",".291","","80","0.0","0.0","","-0.5","0.1","0.0","","701.2","14503"
"Matt Davidson","White Sox","124","508","460","97","18","1","22","54","61","37","177","5","2","1","",".212",".275",".398",".673",".288","","77","-1.0","-0.4","","-15.3","-13.2","-1.1","","435.5","7226"
"David Washington","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".214",".279",".386",".664",".285","","73","0.0","0.0","","0.0","0.0","0.0","","999.0","12110"
"Richie Shaffer","Indians","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".198",".287",".369",".656",".285","","72","0.0","0.0","","0.0","0.0","0.0","","999.0","13271"
"Jimmy Paredes","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".235",".278",".370",".648",".278","","68","0.0","0.0","","0.0","0.0","0.0","","999.0","5481"
"Allen Craig","Padres","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".222",".298",".328",".626",".277","","71","0.0","0.0","","0.0","0.0","0.0","","999.0","3433"
