"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Mike Trout","Angels","144","634","510","157","32","3","38","111","106","108","124","9","20","9","",".308",".434",".608","1.042",".429","","176","2.8","-2.3","","62.3","0.1","8.4","","1.1","10155"
"Giancarlo Stanton","Yankees","135","584","501","143","23","1","53","103","125","72","152","5","3","2","",".286",".379",".653","1.032",".419","","165","-0.4","0.6","","46.6","-8.7","5.8","","8.3","4949"
"Bryce Harper","Nationals","135","590","484","146","28","1","35","96","98","97","111","4","9","5","",".301",".418",".582","1.000",".413","","155","0.5","3.5","","41.9","-3.3","5.7","","8.6","11579"
"J.D. Martinez","Red Sox","126","538","479","137","28","2","32","80","96","51","145","3","3","2","",".285",".356",".553",".909",".377","","134","-2.0","-1.1","","20.3","-14.7","2.4","","23.5","6184"
"Mookie Betts","Red Sox","145","653","577","172","40","3","27","103","90","64","73","3","21","8","",".299",".370",".516",".886",".373","","131","4.1","13.7","","28.8","6.4","5.8","","7.9","13611"
"Rhys Hoskins","Phillies","139","598","516","136","23","2","37","84","98","69","127","7","4","3","",".263",".355",".530",".885",".372","","128","0.4","0.1","","22.3","-7.7","3.4","","49.2","16472"
"Aaron Judge","Yankees","141","613","511","130","20","2","37","94","96","90","187","6","7","4","",".253",".368",".517",".886",".371","","132","-0.3","3.2","","24.3","-5.4","4.0","","19.4","15640"
"Christian Yelich","Brewers","146","647","560","166","36","2","23","93","79","74","131","5","12","5","",".296",".380",".491",".871",".371","","126","1.7","2.5","","23.1","-4.5","3.9","","48.9","11477"
"George Springer","Astros","136","614","526","144","27","1","30","96","83","70","128","9","10","5","",".274",".367",".503",".870",".369","","135","0.7","-4.4","","27.4","-3.6","4.5","","31.2","12856"
"Marcell Ozuna","Cardinals","141","604","544","160","29","2","30","82","97","52","123","3","2","2","",".294",".356",".521",".878",".369","","129","-0.3","3.7","","21.9","-3.4","3.8","","47.3","10324"
"Nelson Cruz","Mariners","141","601","529","145","24","1","35","84","100","59","144","8","2","1","",".274",".353",".523",".875",".366","","134","-3.0","-0.1","","21.9","-16.4","2.6","","57.4","2434"
