"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Carlos Correa","Astros","139","598","522","152","32","2","27","87","94","66","109","4","7","4","",".291",".372",".516",".888",".374","","138","0.9","-2.0","","29.1","5.0","5.4","","14.7","14162"
"Corey Seager","Dodgers","138","610","538","155","34","1","24","87","77","59","114","4","4","2","",".289",".361",".491",".852",".361","","125","1.4","4.6","","21.1","11.5","5.2","","41.5","13624"
"Francisco Lindor","Indians","147","658","588","173","35","3","25","97","87","57","82","4","14","7","",".293",".358",".492",".850",".359","","123","0.0","12.8","","18.5","20.1","6.1","","20.8","12916"
"Trea Turner","Nationals","137","623","567","168","32","7","16","94","65","42","115","4","49","17","",".297",".347",".464",".811",".346","","111","3.4","1.2","","12.0","8.1","4.0","","4.6","16252"
"Jung Ho Kang","Pirates","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".267",".344",".463",".807",".345","","112","0.0","0.0","","0.0","0.0","0.0","","704.3","17182"
"Ian Desmond","Rockies","127","536","486","137","25","2","20","68","72","39","131","4","14","7","",".282",".338",".465",".804",".342","","94","0.9","2.7","","-3.4","-6.0","0.8","","113.7","6885"
"Xander Bogaerts","Red Sox","137","586","526","152","30","3","15","75","72","50","98","5","10","5","",".289",".353",".444",".797",".341","","109","2.0","-1.8","","8.6","5.0","3.4","","81.4","12161"
"Trevor Story","Rockies","135","551","491","123","28","3","24","69","79","50","166","4","9","5","",".252",".324",".472",".796",".335","","89","0.5","0.3","","-7.0","7.0","1.8","","115.5","12564"
"Wilmer Flores","Mets","89","367","340","92","18","1","16","43","52","20","54","3","2","1","",".271",".315",".473",".788",".333","","107","-0.8","0.6","","2.5","-4.5","1.0","","356.3","5827"
"Eduardo Nunez","Red Sox","74","307","286","84","18","1","8","39","38","14","42","2","13","6","",".295",".331",".444",".775",".331","","102","0.2","-1.9","","1.0","-1.9","1.0","","134.4","6848"
"Troy Tulowitzki","Blue Jays","99","405","364","95","18","1","16","49","53","33","77","4","1","1","",".261",".326",".446",".772",".329","","103","-1.5","0.1","","0.1","5.0","1.9","","395.0","3531"
"Ketel Marte","Diamondbacks","130","527","477","138","28","5","8","56","55","40","72","3","10","5","",".289",".344",".416",".760",".327","","94","0.5","-0.5","","-3.7","2.6","1.6","","340.9","13613"
"Brendan Rodgers","Rockies","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".285",".321",".443",".764",".326","","83","0.0","0.0","","0.0","0.0","0.0","","532.6","sa874238"
"Addison Russell","Cubs","124","489","434","109","24","2","18","56","63","43","105","6","4","2","",".252",".325",".443",".769",".325","","97","0.3","8.9","","-1.3","15.1","2.9","","264.4","14106"
"Paul DeJong","Cardinals","125","515","476","124","25","1","23","60","74","28","130","5","3","2","",".261",".308",".461",".769",".325","","100","-0.6","-1.3","","-0.8","4.9","2.1","","151.5","18015"
"Jorge Polanco","Twins","107","451","409","112","23","3","11","54","51","33","65","3","10","6","",".274",".330",".425",".756",".324","","99","0.0","-4.6","","-0.6","0.7","1.6","","213.6","13152"
"Marcus Semien","Athletics","137","597","531","134","28","2","21","77","68","55","127","2","12","5","",".252",".323",".433",".756",".324","","103","0.4","-10.4","","2.4","-3.6","1.9","","225.6","12533"
"Asdrubal Cabrera","Mets","118","508","456","119","27","1","16","60","55","41","88","5","3","2","",".260",".324",".428",".753",".322","","100","-2.0","-4.5","","-1.7","-2.5","1.2","","312.0","4962"
"Javier Baez","Cubs","127","507","464","121","23","2","22","60","71","31","128","6","10","5","",".262",".314",".461",".775",".322","","95","1.0","3.1","","-2.4","5.2","1.9","","102.7","12979"
"Elvis Andrus","Rangers","146","636","578","162","34","3","12","79","67","46","89","4","22","10","",".279",".334",".411",".745",".322","","95","1.7","-5.6","","-2.5","1.7","2.1","","59.8","8709"
"Brad Miller","Rays","87","357","310","74","15","2","12","41","41","40","88","2","5","3","",".237",".327",".420",".747",".321","","101","0.2","0.7","","0.7","-6.8","0.6","","454.2","12775"
"Zack Cozart","Angels","123","509","456","116","21","4","16","60","61","43","81","4","3","2","",".255",".322",".425",".746",".320","","101","-0.3","11.5","","0.5","13.8","3.2","","222.6","2616"
"Didi Gregorius","Yankees","137","565","523","140","27","1","19","67","73","30","76","6","4","2","",".268",".314",".436",".749",".319","","97","1.7","0.7","","-0.6","7.6","2.6","","117.4","6012"
