Name,Points,Value
Corey Kluber,521.0,35.55476623895576
Mike Trout,521.0,35.55476623895576
Max Scherzer,514.0,34.908315943702014
Chris Sale,509.0,34.446565732806484
Clayton Kershaw,503.0,33.892465479731854
Mookie Betts,496.0,33.24601518447811
Nolan Arenado,494.0,33.0613151001199
Giancarlo Stanton,476.0,31.399014340895995
Anthony Rizzo,475.0,31.30666429871689
Manny Machado,471.0,30.937264130000464
Joey Votto,465.0,30.38316387692583
Bryce Harper,465.0,30.38316387692583
Francisco Lindor,455.0,29.459663455134773
Noah Syndergaard,454.0,29.367313412955667
Jacob deGrom,448.0,28.813213159881027
Jose Altuve,447.0,28.720863117701924
Kris Bryant,436.0,27.70501265373176
Justin Verlander,434.0,27.520312569373548
Stephen Strasburg,433.0,27.427962527194442
Paul Goldschmidt,432.0,27.335612485015336
Chris Archer,432.0,27.335612485015336
Josh Donaldson,427.0,26.873862274119805
Luis Severino,423.0,26.504462105403384
Charlie Blackmon,421.0,26.31976202104517
Jose Quintana,414.0,25.673311725791432
Freddie Freeman,411.0,25.396261599254114
Carlos Correa,410.0,25.303911557075008
Madison Bumgarner,408.0,25.119211472716795
Edwin Encarnacion,408.0,25.119211472716795
Rhys Hoskins,399.0,24.288061093104844
Zack Greinke,399.0,24.288061093104844
Carlos Santana,398.0,24.195711050925738
Christian Yelich,397.0,24.10336100874663
Brian Dozier,397.0,24.10336100874663
Alex Bregman,396.0,24.011010966567525
Jose Abreu,393.0,23.733960840030207
Robinson Cano,392.0,23.6416107978511
Marcell Ozuna,391.0,23.549260755671995
George Springer,389.0,23.364560671313782
Andrew Benintendi,389.0,23.364560671313782
Yu Darvish,389.0,23.364560671313782
Carlos Martinez,388.0,23.272210629134676
Jeff Samardzija,383.0,22.81046041823915
Kenley Jansen,381.0,22.625760333880937
Andrew McCutchen,380.0,22.53341029170183
Trea Turner,380.0,22.53341029170183
Robbie Ray,379.0,22.441060249522724
Nelson Cruz,376.0,22.164010122985406
Corey Seager,374.0,21.979310038627194
Anthony Rendon,373.0,21.88695999644809
Eric Hosmer,372.0,21.794609954268985
Carlos Carrasco,372.0,21.794609954268985
David Price,370.0,21.609909869910773
Kyle Seager,368.0,21.42520978555256
Jon Lester,366.0,21.24050970119435
Cody Bellinger,365.0,21.148159659015242
James Paxton,364.0,21.055809616836136
Josh Bell,363.0,20.96345957465703
Craig Kimbrel,362.0,20.871109532477927
DJ LeMahieu,362.0,20.871109532477927
Aaron Nola,362.0,20.871109532477927
Aaron Judge,361.0,20.77875949029882
Jose Ramirez,359.3333333333333,20.624842753333642
Dallas Keuchel,359.0,20.59405940594061
Daniel Murphy,356.0,20.31700927940329
Jon Gray,354.0,20.132309195045078
Nomar Mazara,354.0,20.132309195045078
Elvis Andrus,353.0,20.039959152865972
Jonathan Schoop,353.0,20.039959152865972
A.J. Pollock,351.0,19.855259068507763
Buster Posey,350.0,19.762909026328657
Evan Longoria,349.0,19.67055898414955
J.D. Martinez,348.0,19.578208941970445
Justin Turner,347.0,19.48585889979134
Adrian Beltre,346.0,19.393508857612233
Mike Moustakas,345.0,19.301158815433126
Yoenis Cespedes,344.0,19.20880877325402
Adam Jones,340.0,18.8394086045376
Miguel Cabrera,340.0,18.8394086045376
Shohei Ohtani,339.0,18.747058562358493
Yasiel Puig,338.0,18.654708520179383
